wavelength_nm,c_ext,c_sca,c_abs
400,0.947010543283,350.084433926,0
405,0.975137097992,331.837473414,0
410,1.00385813706,314.71055848,0
415,1.03318525212,298.623187153,0
420,1.06313036274,283.501493129,0
425,1.09370572625,269.277629549,0
430,1.12492394817,255.88921633,0
435,1.15679799285,243.278843844,0
440,1.18934119457,231.393626651,0
445,1.2225672691,220.184801733,0
450,1.2564903256,209.60736637,0
455,1.2911248791,199.619751346,0
460,1.32648586334,190.183525725,0
465,1.36258864419,181.263129814,0
470,1.39944903351,172.825633394,0
475,1.43708330362,164.840516561,0
480,1.47550820228,157.279470875,0
485,1.51474096832,150.116218743,0
490,1.55479934779,143.326349194,0
495,1.59570161081,136.887168422,0
500,1.6374665691,130.777563626,0
505,1.6801135942,124.97787886,0
510,1.72366263635,119.469801717,0
515,1.76813424425,114.236259812,0
520,1.81354958551,109.261326137,0
525,1.85993046801,104.530132449,0
530,1.90729936211,100.028789936,0
535,1.95567942374,95.744316498,0
540,2.0050945185,91.6645700351,0
545,2.0555692467,87.778187188,0
550,2.10712896952,84.0745270526,0
555,2.15979983622,80.5436194186,0
560,2.21360881249,77.1761171323,0
565,2.26858371002,73.9632522248,0
570,2.3247532174,70.8967954758,0
575,2.38214693219,67.969019119,0
580,2.44079539456,65.1726624196,0
585,2.50073012225,62.5008998811,0
590,2.56198364714,59.9473118604,0
595,2.62458955337,57.5058573911,0
600,2.68858251722,55.1708490318,0
605,2.75399834868,52.9369295737,0
610,2.82087403498,50.7990504569,0
615,2.88924778594,48.7524517565,0
620,2.95915908156,46.7926436141,0
625,3.03064872159,44.9153889995,0
630,3.10375887753,43.1166876972,0
635,3.17853314693,41.3927614229,0
640,3.25501661025,39.7400399823,0
645,3.33325589042,38.1551483912,0
650,3.41329921509,36.6348948842,0
655,3.49519648198,35.1762597448,0
660,3.57899932718,33.7763848941,0
665,3.6647611969,32.4325641827,0
670,3.75253742253,31.1422343329,0
675,3.84238529946,29.9029664834,0
680,3.9343641697,28.7124582931,0
685,4.02853550859,27.5685265624,0
690,4.12496301582,26.469100336,0
695,4.223712711,25.4122144521,0
700,4.32485303401,24.3960035057,0
