wavelength_nm,c_ext,c_sca,c_abs
400,159.88370061265044,2.216526489581074,157.66717412306937
405,179.00934925799586,5.408936059241463,173.6004131987544
410,201.40879468508865,10.552160075074758,190.85663461001388
415,227.85525795451372,18.054038510789507,209.80121944372422
420,259.36183592417507,28.467067561999336,230.89476836217574
425,297.27599804340923,42.54654636695915,254.72945167645008
430,343.42028191332975,61.338055438207434,282.0822264751223
435,400.3067780458827,86.31213027571107,313.99464777017164
440,471.47290547691136,119.57709911412172,351.89580636278964
445,562.0231313523947,164.2256619853903,397.7974693670044
450,679.5335126151597,224.91894000626357,454.6145726088961
455,835.6230634684954,308.91047130469286,526.7125921638026
460,1048.8121333308939,427.92633610618225,620.8857972247116
465,1350.0107547777427,601.809759317997,748.2009954597457
470,1793.7547983677475,866.0569064290083,927.6978919387392
475,2483.0433389754517,1288.6509162567838,1194.3924227186678
480,3629.5166054076312,2011.3244380104863,1618.1921673971449
485,5715.650837384753,3362.300438542016,2353.350398842737
490,9979.838519747285,6199.7402072262785,3780.098312521007
495,19823.565054558156,12944.816443628239,6878.748610929917
500,40125.178007497205,27427.649302731337,12697.528704765868
505,43657.58187374611,31121.58461604203,12535.997257704079
510,22881.418670388135,16952.90715169115,5928.511518696985
515,11539.667614324104,8858.876074917098,2680.791539407006
520,6616.358190736896,5248.228652060316,1368.1295386765805
525,4227.345596586789,3455.887441910826,771.4581546759628
530,2921.1421074094237,2455.419311074634,465.72279633478956
535,2137.080406965204,1843.067038183933,294.0133687812711
540,1631.7844863841908,1441.0223910345865,190.76209534960435
545,1287.7778768383403,1162.3675596477062,125.41031719063403
550,1043.2178725334595,960.8131673468166,82.4047051866429
555,863.1861344410773,809.9359005310118,53.2502339100655
560,726.8079608847747,693.7738361947848,33.03412468998988
565,621.0012877925008,602.2224996208798,18.77878817162093
570,537.2372333913736,528.629519947164,8.607713444209594
575,469.7658638590067,468.4670561755813,1.2988076834253661
580,414.59765738478217,418.5640329999214,-3.9663756151392136
585,368.89468405931075,376.64393600068036,-7.749251941369607
590,330.5937124513669,341.03669494425094,-10.442982492884028
595,298.1656298939212,310.4935275604407,-12.327897666519505
600,270.4576687152621,284.06470907016876,-13.607040354906644
605,246.58742462265855,261.01693320113725,-14.429508578478703
610,225.87012266382047,240.7762362730536,-14.906113609233131
615,207.76772938180426,222.8878138274424,-15.120084445638128
620,191.85272414595633,206.98723586871446,-15.134511722758134
625,177.78189584798787,192.77950049717526,-14.997604649187394
630,165.27711552960898,180.02357130202304,-14.746455772414066
635,154.11104036381838,168.52081202014594,-14.409771656327564
640,144.09635453715418,158.10623118833007,-14.009876651175887
645,135.07758094818752,148.64177991933747,-13.564198971149949
650,126.92478466824151,140.01116829265965,-13.086383624418133
655,119.52868444034046,132.11581782658703,-12.587133386246578
660,112.79682333875914,124.87167286356377,-12.074849524804634
665,106.65054405088704,118.20666772645815,-11.556123675571115
670,101.02258106674603,112.05869915724148,-11.03611809049545
675,95.85512994552188,106.37399143587561,-10.518861490353729
680,91.09828851411997,101.10576913315585,-10.007480619035874
685,86.70879023398992,96.2131726970628,-9.504382463072886
690,82.64896872294382,91.66036708892095,-9.01139836597713
695,78.8859063953614,87.41580492376464,-8.529898528403237
700,75.39073069083199,83.45161405067876,-8.06088335984677
