"wavelength_nm","c_ext","c_sca","c_abs"
400,6833.58729227196,12.4315055305398,6821.15578674142
405,7213.56044263272,11.7835555832205,7201.7768870495
410,7610.51430768489,11.1753784776867,7599.33892920721
415,8025.06098544444,10.6041155872412,8014.4568698572
420,8457.83195620248,10.0671439178865,8447.7648122846
425,8909.47873729683,9.56205422630111,8899.91668307053
430,9380.67356356975,9.08663139441304,9371.58693217534
435,9872.11009462048,8.63883680515603,9863.47125781532
440,10384.5041500146,8.2167924954173,10376.2873575191
445,10918.5944736695,7.8187668894451,10910.77570678
450,11475.1435286957,7.44316193966284,11467.700366756
455,12054.938324035,7.08850152244181,12047.8498225125
460,12658.7912743061,6.75342095434299,12652.0378533517
465,13287.5410943354,6.43665751001444,13281.1044368254
470,13942.0537299278,6.13704183663546,13935.9166880911
475,14623.2233265073,5.853490171797,14617.3698363355
480,15331.9732373437,5.58499728222862,15326.3882400615
485,16069.2570731647,5.33063005001956,16063.9264431147
490,16836.0597950482,5.08952164110403,16830.9702734071
495,17633.3988525847,4.86086619793164,17628.5379863868
500,18462.3253694041,4.64391400454948,18457.6814553996
505,19323.925378268,4.43796707788772,19319.4874111901
510,20219.3211080453,4.24237514396066,20215.0787329014
515,21149.6723250096,4.05653196204926,21145.6157930476
520,22116.1777310254,3.87987196378944,22112.2978590617
525,23120.0764213262,3.71186717751339,23116.3645541487
530,24162.6494047321,3.55202441123125,24159.0973803208
535,25245.2211893065,3.39988267034449,25241.8213066362
540,26369.161436614,3.25501078858879,26365.9064258254
545,27535.8866879105,3.11700525284961,27532.7696826577
550,28746.8621657827,2.98548820440736,28743.8766775782
555,30003.6036549398,2.86010560087855,30000.7435493389
560,31307.6794660725,2.74052552464781,31304.9389405478
565,32660.712486903,2.62643662495334,32658.0860502781
570,34064.3823247864,2.51754668201427,34061.8647781044
575,35520.4275454624,2.41358128268731,35518.0139641797
580,37030.6480128205,2.31428259812676,37028.3337302223
585,38596.9073348132,2.21940825480879,38594.6879265584
590,40221.1354209472,2.12873029107779,40219.0066906562
595,41905.3311570925,2.04203419209096,41903.2891229004
600,43651.5652036809,1.95911799668378,43649.6060856842
605,45461.9829237179,1.87979147026235,45460.1031322477
610,47338.8074474072,1.80387533835525,47337.0035720688
615,49284.342880584,1.73120057593305,49282.6116800081
620,51300.9776645835,1.66160774803389,51299.3160568355
625,53391.1880956174,1.59494639762263,53389.5931492198
630,55557.542012222,1.53107447696353,55556.010937745
635,57802.7026598491,1.46985781910613,57801.23280203
640,60129.4327422279,1.41116964637367,60128.0215725815
645,62540.598669705,1.35489011300648,62539.243779592
650,65039.1750154043,1.3009058793521,65037.8741095249
655,67628.2491907097,1.24910971521091,67627.0000809945
660,70311.0263522947,1.19940013014406,70309.8269521645
665,73090.8345536826,1.1516810287306,73089.6828726539
670,75971.1301551424,1.10586138892463,75970.0242937535
675,78955.5035065967,1.06185496181324,78954.4416516348
680,82047.6849191557,1.01957999121217,82046.6653391644
685,85251.5509418948,0.978958951661352,85250.5719829431
690,88571.1309615655,0.939918303495932,88570.191043262
695,92010.6141440809,0.902388263772979,92009.7117558171
700,95574.3567378549,0.866302591929199,95573.490435263
