wavelength_nm,c_ext,c_sca,c_abs
400,6833.587292271963,12.431505530539825,6821.155786741423
405,7213.560442632719,11.783555583220489,7201.776887049498
410,7610.514307684894,11.175378477686671,7599.338929207208
415,8025.060985444444,10.604115587241157,8014.456869857203
420,8457.831956202484,10.067143917886536,8447.764812284599
425,8909.478737296826,9.56205422630111,8899.916683070525
430,9380.673563569751,9.08663139441304,9371.586932175338
435,9872.110094620475,8.638836805156032,9863.47125781532
440,10384.504150014556,8.216792495417298,10376.287357519139
445,10918.594473669493,7.818766889445097,10910.775706780048
450,11475.143528695682,7.443161939662842,11467.700366756018
455,12054.93832403499,7.088501522441814,12047.84982251255
460,12658.791274306053,6.753420954342985,12652.03785335171
465,13287.541094335402,6.436657510014437,13281.104436825388
470,13942.053729927755,6.137041836635458,13935.91668809112
475,14623.223326507301,5.853490171797002,14617.369836335503
480,15331.973237343715,5.58499728222862,15326.388240061486
485,16069.25707316473,5.330630050019563,16063.926443114711
490,16836.059795048193,5.089521641104026,16830.97027340709
495,17633.398852584723,4.8608661979316325,17628.537986386793
500,18462.325369404152,4.643914004549478,18457.681455399605
505,19323.925378268024,4.437967077887722,19319.487411190137
510,20219.32110804532,4.242375143960663,20215.07873290136
515,21149.672325009626,4.056531962049259,21145.615793047575
520,22116.17773102544,3.8798719637894417,22112.29785906165
525,23120.07642132622,3.7118671775133905,23116.364554148706
530,24162.649404732063,3.55202441123125,24159.097380320833
535,25245.221189306507,3.3998826703444864,25241.821306636164
540,26369.16143661395,3.2550107885887876,26365.906425825364
545,27535.88668791053,3.1170052528496104,27532.76968265768
550,28746.86216578265,2.985488204407357,28743.876677578246
555,30003.60365493978,2.8601056008785526,30000.743549338902
560,31307.67946607245,2.740525524647813,31304.938940547803
565,32660.712486903027,2.6264366249533446,32658.086050278074
570,34064.382324786384,2.5175466820142742,34061.86477810437
575,35520.427545462364,2.4135812826873058,35518.01396417968
580,37030.648012820435,2.3142825981267614,37028.33373022231
585,38596.90733481317,2.219408254808792,38594.68792655836
590,40221.13542094723,2.1287302910777886,40219.00669065615
595,41905.33115709253,2.042034192090959,41903.28912290044
600,43651.56520368087,1.959117996683777,43649.60608568419
605,45461.98292371794,1.8797914702623488,45460.10313224768
610,47338.80744740717,1.803875338355247,47337.00357206882
615,49284.34288058404,1.731200575933045,49282.61168000811
620,51300.9776645835,1.6616077480338929,51299.316056835465
625,53391.18809561745,1.5949463976226335,53389.59314921983
630,55557.54201222197,1.5310744769635305,55556.010937745006
635,57802.702659849136,1.4698578191061318,57801.23280203003
640,60129.43274222785,1.4111696463736654,60128.02157258148
645,62540.59866970498,1.354890113006476,62539.243779591976
650,65039.1750154043,1.3009058793521018,65037.87410952494
655,67628.24919070976,1.2491097152109105,67627.00008099455
660,70311.02635229469,1.199400130144061,70309.82695216454
665,73090.83455368257,1.1516810287305952,73089.68287265384
670,75971.13015514245,1.105861388924633,75970.02429375354
675,78955.50350659664,1.0618549618132398,78954.44165163483
680,82047.68491915564,1.0195799912121712,82046.66533916442
685,85251.55094189482,0.9789589516613519,85250.57198294316
690,88571.13096156552,0.939918303495931,88570.19104326202
695,92010.61414408087,0.9023882637729786,92009.7117558171
700,95574.35673785489,0.8663025919291992,95573.49043526297
