%ev	%n 	%k
%Inagaki,1981
0.200000807	13.9816	14.2652
0.400002258	9.7411	10.6456
0.600003388	7.57453	9.19529
0.800004517	6.08732	8.31237
1.000005646	4.9614	7.643
1.200006775	4.05007	7.08259
1.400007904	3.3238	6.55726
1.600009033	2.74611	6.05402
1.800010163	2.28417	5.58189
2.000011292	1.90988	5.14953
2.200026617	1.62088	4.7505
2.40001355	1.38332	4.40608
2.600023068	1.186	4.08981
2.800015808	1.02698	3.80193
3.000016938	0.898	3.53785
3.200018067	0.79824	3.29351
3.400008227	0.71303	3.0735
3.600020325	0.64425	2.85991
3.800064364	0.58934	2.66483
4.000022584	0.54187	2.50152
4.200023713	0.50656	2.34128
4.400053233	0.47636	2.19475
4.600033391	0.45157	2.05838
4.8000271	0.43087	1.92864
4.999987902	0.41398	1.80565
5.200046135	0.40109	1.68667
5.400030488	0.39348	1.56934
5.600031617	0.38658	1.45377
5.799911119	0.38584	1.34122
6.000033875	0.38613	1.23211
6.200165025	0.38978	1.11845
6.300035569	0.39938	1.05826
6.399870954	0.4123	1.00194
6.500193981	0.42769	0.94927
6.600196966	0.43614	0.89823
6.700064847	0.4376	0.83582
6.800016454	0.4588	0.75545
6.899922088	0.50958	0.67614
7.000039521	0.58506	0.61668
7.20004065	0.71715	0.58405
7.399862728	0.81658	0.57385
7.599895795	0.8927	0.5965
7.800232778	0.92904	0.62323
8.000045167	0.946	0.639
8.200046296	0.95194	0.64552
8.400047425	0.95275	0.63815
8.599895956	0.95609	0.62442
8.800106466	0.96496	0.60676
9.000050813	0.97457	0.58846
9.199725458	0.98779	0.56844
9.39990144	1.00864	0.54777
9.600054201	1.04397	0.54072
9.800387321	1.06094	0.55658
10.00037909	1.06152	0.56711
10.2003044	1.05405	0.56923
10.3996561	1.04545	0.56148
10.59970078	1.0413	0.55027
10.80006098	1.03857	0.53631
11.00032828	1.0395	0.52333
11.50029682	1.05005	0.49093
12.00006775	1.06391	0.46691
12.49971771	1.07841	0.44505
13.00038796	1.09246	0.42949
13.50007622	1.10417	0.41615
14.00007904	1.1153	0.40361
14.49943866	1.1251	0.39352
14.99935882	1.13509	0.38266
15.500025	1.1463	0.37416
16.00009033	1.15865	0.36806
16.50049241	1.16958	0.36731
17.00050734	1.1774	0.36644
17.4996048	1.18399	0.36584
18.00010163	1.19073	0.36721
18.49965682	1.19493	0.36722
19.00148659	1.20004	0.3662
19.50058194	1.20846	0.36385
