%ev	%n	%k
%% iridium Chen 50% silver 50% ag
1.26	0.518185	7.28248
1.39	0.73434	6.5819
1.51	0.964895	6.308325
1.64	0.790305	6.103975
1.76	0.61793	5.756555
1.88	0.504135	5.394325
2.01	0.423595	5.033855
2.13	0.363165	4.72191
2.26	0.32358	4.42434
2.38	0.286775	4.158755
2.5	0.26114	3.92095
2.63	0.23836	3.688555
2.75	0.21579	3.48119
2.88	0.19959	3.28295
3	0.191705	3.103915
3.12	0.180425	2.922235
3.25	0.169675	2.739675
3.37	0.170875	2.567955
3.5	0.177375	2.37997
3.62	0.19033	2.18197
3.74	0.198955	1.969525
3.87	0.512685	1.69403
3.99	0.667425	1.75652
4.12	0.76721	1.879855
4.24	0.787815	1.93413
4.36	0.79375	1.94362
4.49	0.789695	1.933885
