%Mathewson and H. P. Myers 1971
%ev	%n	%k
0.700003952	2.26234	11.58094
0.750004234	2.17508	10.80421
0.800004517	2.04976	10.04995
0.850002057	1.94706	9.47581
0.900005081	1.88333	8.9469
0.950001532	1.84979	8.43337
1.000005646	1.80484	7.97856
1.050005928	1.82482	7.39797
1.100003549	1.79546	7.12907
1.150008348	1.80918	6.74338
1.200006775	1.80417	6.48498
1.250009578	1.81906	6.15703
1.300011534	1.84405	5.85667
1.350007622	1.85222	5.64187
1.400007904	1.88041	5.39777
1.450011695	1.91905	5.18486
1.500008469	1.9583	4.95328
1.5500025	2.01129	4.74819
1.600009033	2.09878	4.55026
1.650005323	2.1818	4.40003
1.700004113	2.27887	4.30038
1.75000988	2.37327	4.23467
1.800010163	2.45892	4.18883
1.85002089	2.52934	4.17104
1.900003065	2.57157	4.16088
1.949996854	2.5943	4.16298
2.000011292	2.60294	4.16837
2.050011574	2.60618	4.18237
2.100011856	2.59756	4.177
2.150011272	2.58356	4.18028
2.200026617	2.56955	4.18361
2.250012703	2.54683	4.18167
2.300016696	2.51876	4.18857
2.350019902	2.49592	4.18684
2.40001355	2.47301	4.18518
2.45	2.44112	4.17841
2.499993951	2.40388	4.18074
2.550023652	2.36141	4.19241
2.600023068	2.30983	4.19944
2.650038473	2.25385	4.19283
2.700015244	2.18315	4.1912
2.750021071	2.11192	4.19049
2.800015808	2.03525	4.17639
2.850026435	1.95301	4.17304
2.90002339	1.86905	4.14649
2.949979776	1.79827	4.11507
3.000016938	1.71581	4.07971
3.04997909	1.65717	4.04304
3.100005001	1.58664	4.00218
3.150017785	1.52979	3.95478
3.200018067	1.47166	3.90715
3.250011796	1.41637	3.84787
3.300010647	1.37126	3.79214
3.350032424	1.32504	3.73574
3.400008227	1.27765	3.67864
3.450057044	1.24136	3.62505
3.500019761	1.21679	3.57499
3.550027201	1.19607	3.51149
3.600020325	1.17059	3.45981
