%% Bodurov 2016
%ev	%n
1.233310455	2.423402547
1.236138584	2.423593237
1.238979714	2.423785301
1.241833934	2.423978753
1.244701335	2.424173606
1.247582008	2.424369874
1.250476046	2.424567571
1.253383542	2.424766711
1.25630459	2.424967308
1.259239285	2.425169376
1.262187723	2.42537293
1.26515	2.425577985
1.268126215	2.425784556
1.271116465	2.425992658
1.274120851	2.426202306
1.277139473	2.426413516
1.280172432	2.426626304
1.28321983	2.426840685
1.286281772	2.427056675
1.289358361	2.427274291
1.292449703	2.42749355
1.295555904	2.427714468
1.298677071	2.427937063
1.301813314	2.42816135
1.304964741	2.428387349
1.308131462	2.428615075
1.311313591	2.428844549
1.314511238	2.429075786
1.317724519	2.429308807
1.320953548	2.429543628
1.324198441	2.429780271
1.327459315	2.430018752
1.330736289	2.430259092
1.334029481	2.43050131
1.337339014	2.430745427
1.340665009	2.430991461
1.344007588	2.431239435
1.347366877	2.431489367
1.350743	2.43174128
1.354136086	2.431995194
1.357546261	2.432251132
1.360973655	2.432509114
1.3644184	2.432769164
1.367880627	2.433031302
1.371360469	2.433295553
1.374858062	2.433561939
1.378373541	2.433830484
1.381907044	2.43410121
1.38545871	2.434374143
1.38902868	2.434649307
1.392617095	2.434926726
1.396224099	2.435206425
1.399849836	2.43548843
1.403494453	2.435772767
1.407158098	2.436059461
1.410840919	2.436348539
1.414543069	2.436640029
1.418264699	2.436933956
1.422005964	2.437230349
1.425767019	2.437529237
1.429548023	2.437830646
1.433349133	2.438134607
1.437170511	2.438441149
1.44101232	2.4387503
1.444874723	2.439062092
1.448757887	2.439376555
1.45266198	2.43969372
1.456587171	2.440013618
1.460533632	2.440336282
1.464501536	2.440661744
1.468491058	2.440990036
1.472502375	2.441321193
1.476535668	2.441655248
1.480591115	2.441992235
1.484668902	2.44233219
1.488769212	2.442675147
1.492892234	2.443021144
1.497038155	2.443370216
1.501207168	2.443722401
1.505399466	2.444077736
1.509615244	2.444436259
1.513854701	2.444798011
1.518118036	2.445163029
1.522405452	2.445531354
1.526717153	2.445903026
1.531053347	2.446278088
1.535414241	2.446656581
1.53980005	2.447038547
1.544210985	2.447424031
1.548647265	2.447813075
1.553109107	2.448205726
1.557596734	2.448602027
1.562110369	2.449002026
1.56665024	2.449405769
1.571216576	2.449813304
1.575809609	2.450224679
1.580429573	2.450639944
1.585076707	2.451059149
1.58975125	2.451482343
1.594453447	2.451909581
1.599183542	2.452340912
1.603941785	2.452776392
1.608728429	2.453216075
1.613543727	2.453660014
1.618387939	2.454108268
1.623261325	2.454560892
1.62816415	2.455017946
1.633096681	2.455479487
1.638059189	2.455945576
1.643051948	2.456416274
1.648075236	2.456891642
1.653129333	2.457371746
1.658214525	2.457856647
1.663331097	2.458346412
1.668479343	2.458841108
1.673659557	2.459340801
1.678872038	2.459845562
1.684117088	2.460355459
1.689395013	2.460870564
1.694706124	2.46139095
1.700050734	2.461916691
1.705429161	2.462447861
1.710841728	2.462984537
1.71628876	2.463526798
1.721770587	2.464074722
1.727287545	2.46462839
1.732839972	2.465187885
1.738428211	2.465753289
1.744052609	2.466324689
1.74971352	2.466902171
1.755411298	2.467485824
1.761146307	2.468075738
1.766918911	2.468672004
1.772729482	2.469274715
1.778578396	2.469883968
1.784466033	2.47049986
1.79039278	2.471122488
1.796359026	2.471751954
1.802365169	2.472388361
1.80841161	2.473031813
1.814498756	2.473682417
1.820627019	2.474340282
1.826796817	2.475005519
1.833008575	2.47567824
1.839262721	2.476358561
1.84555969	2.4770466
1.851899925	2.477742476
1.858283873	2.478446312
1.864711987	2.479158232
1.871184727	2.479878364
1.877702559	2.480606837
1.884265957	2.481343785
1.8908754	2.482089341
1.897531374	2.482843644
1.904234373	2.483606835
1.910984895	2.484379057
1.917783449	2.485160456
1.92463055	2.485951184
1.931526718	2.486751391
1.938472483	2.487561235
1.945468382	2.488380875
1.952514961	2.489210473
1.959612771	2.490050195
1.966762373	2.490900212
1.973964337	2.491760697
1.981219239	2.492631826
1.988527666	2.493513781
1.995890212	2.494406746
2.003307481	2.495310912
2.010780084	2.49622647
2.018308644	2.497153619
2.025893791	2.498092561
2.033536165	2.499043501
2.041236418	2.500006651
2.048995207	2.500982226
2.056813205	2.501970448
2.064691091	2.502971543
2.072629555	2.503985741
2.0806293	2.505013278
2.088691038	2.506054397
2.096815491	2.507109345
2.105003396	2.508178376
2.113255497	2.509261748
2.121572553	2.510359727
2.129955334	2.511472586
2.138404622	2.512600602
2.146921212	2.51374406
2.155505911	2.514903253
2.164159539	2.51607848
2.17288293	2.517270046
2.181676931	2.518478267
2.190542403	2.519703463
2.19948022	2.520945966
2.208491272	2.522206112
2.217576462	2.523484249
2.22673671	2.524780733
2.235972949	2.526095927
2.245286128	2.527430206
2.254677214	2.528783954
2.264147188	2.530157564
2.273697047	2.53155144
2.283327808	2.532965997
2.293040503	2.534401661
2.302836181	2.535858867
2.312715911	2.537338067
2.322680779	2.538839719
2.332731891	2.540364297
2.34287037	2.541912288
2.353097362	2.543484191
2.36341403	2.54508052
2.373821558	2.546701802
2.384321154	2.548348581
2.394914043	2.550021414
2.405601475	2.551720875
2.41638472	2.553447555
2.427265074	2.55520206
2.438243854	2.556985016
2.449322402	2.558797066
2.460502084	2.560638872
2.47178429	2.562511116
2.483170439	2.564414499
2.494661972	2.566349746
2.50626036	2.568317601
2.5179671	2.570318832
2.529783718	2.57235423
2.541711767	2.574424611
2.553752832	2.576530817
2.565908526	2.578673714
2.578180495	2.580854199
2.590570414	2.583073195
2.603079992	2.585331655
2.61571097	2.587630564
2.628465126	2.589970937
2.641344269	2.592353824
2.654350246	2.59478031
2.66748494	2.597251515
2.68075027	2.599768597
2.694148196	2.602332755
2.707680716	2.604945227
2.721349868	2.607607294
2.735157732	2.610320282
2.74910643	2.613085563
2.763198128	2.615904559
2.777435036	2.618778741
2.79181941	2.621709634
2.806353554	2.624698818
2.821039818	2.62774793
2.835880604	2.63085867
2.850878363	2.634032798
2.866035599	2.637272143
2.881354869	2.640578603
2.896838785	2.643954147
2.912490016	2.647400823
2.92831129	2.650920755
2.944305391	2.654516156
2.960475167	2.658189323
2.976823529	2.661942647
2.993353452	2.665778616
3.010067978	2.669699819
3.026970215	2.673708955
3.044063344	2.677808834
3.061350617	2.682002384
3.078835361	2.686292661
3.096520979	2.69068285
3.114410952	2.695176278
3.132508843	2.699776418
3.150818297	2.704486896
3.169343047	2.709311505
3.188086912	2.714254209
3.207053802	2.719319156
3.226247723	2.724510689
3.245672775	2.729833353
3.265333158	2.735291914
3.285233174	2.740891367
3.305377233	2.746636952
3.32576985	2.752534171
3.346415655	2.7585888
3.367319392	2.76480691
3.388485925	2.771194887
3.409920242	2.777759447
3.431627456	2.784507666
3.453612813	2.791446997
3.475881693	2.798585299
3.498439616	2.805930865
3.521292247	2.813492454
3.544445397	2.82127932
3.567905036	2.829301251
3.591677289	2.837568608
3.615768446	2.846092367
3.640184968	2.854884166
3.664933491	2.863956354
3.690020833	2.873322052
3.715454001	2.882995208
3.741240193	2.892990668
3.767386813	2.903324247
3.793901469	2.914012815
3.820791988	2.925074379
3.848066418	2.936528192
3.875733042	2.948394853
3.903800378	2.960696434
3.932277196	2.973456616
3.961172524	2.986700835
3.990495655	3.000456453
4.020256161	3.014752947
4.050463901	3.029622116
4.081129032	3.045098317
4.112262023	3.061218737
4.143873663	3.078023686
4.175975076	3.095556941
4.208577733	3.113866132
4.241693466	3.133003178
4.275334483	3.153024793
4.309513382	3.173993058
4.344243167	3.195976078
4.379537266	3.219048751
