%% Bodurov 2016
%ev	%n
1.115873459	2.415915445
1.118188131	2.416054972
1.120512427	2.416195401
1.122846405	2.41633674
1.125190126	2.416478997
1.127543652	2.416622179
1.129907045	2.416766296
1.132280365	2.416911355
1.134663677	2.417057365
1.137057043	2.417204334
1.139460528	2.41735227
1.141874194	2.417501182
1.144298108	2.417651079
1.146732334	2.41780197
1.149176939	2.417953863
1.15163199	2.418106767
1.154097552	2.418260692
1.156573694	2.418415646
1.159060484	2.41857164
1.161557991	2.418728682
1.164066285	2.418886781
1.166585435	2.419045948
1.169115512	2.419206192
1.171656587	2.419367524
1.174208732	2.419529952
1.17677202	2.419693487
1.179346523	2.41985814
1.181932316	2.420023919
1.184529474	2.420190837
1.18713807	2.420358904
1.189758181	2.420528129
1.192389883	2.420698524
1.195033253	2.4208701
1.197688369	2.421042868
1.20035531	2.421216839
1.203034155	2.421392025
1.205724983	2.421568436
1.208427875	2.421746084
1.211142913	2.421924982
1.213870178	2.42210514
1.216609754	2.422286572
1.219361723	2.422469288
1.222126171	2.422653302
1.224903181	2.422838625
1.227692841	2.423025271
1.230495236	2.423213253
1.233310455	2.423402582
1.236138584	2.423593272
1.238979714	2.423785336
1.241833934	2.423978788
1.244701335	2.424173642
1.247582008	2.42436991
1.250476046	2.424567607
1.253383542	2.424766747
1.25630459	2.424967344
1.259239285	2.425169413
1.262187723	2.425372967
1.26515	2.425578022
1.268126215	2.425784594
1.271116465	2.425992696
1.274120851	2.426202344
1.277139473	2.426413554
1.280172432	2.426626342
1.28321983	2.426840723
1.286281772	2.427056713
1.289358361	2.42727433
1.292449703	2.427493589
1.295555904	2.427714507
1.298677071	2.427937102
1.301813314	2.428161389
1.304964741	2.428387388
1.308131462	2.428615115
1.311313591	2.428844589
1.314511238	2.429075826
1.317724519	2.429308847
1.320953548	2.429543669
1.324198441	2.429780311
1.327459315	2.430018793
1.330736289	2.430259133
1.334029481	2.430501352
1.337339014	2.430745468
1.340665009	2.430991503
1.344007588	2.431239477
1.347366877	2.43148941
1.350743	2.431741323
1.354136086	2.431995237
1.357546261	2.432251175
1.360973655	2.432509158
1.3644184	2.432769207
1.367880627	2.433031346
1.371360469	2.433295597
1.374858062	2.433561983
1.378373541	2.433830528
1.381907044	2.434101255
1.38545871	2.434374188
1.38902868	2.434649352
1.392617095	2.434926772
1.396224099	2.435206471
1.399849836	2.435488476
1.403494453	2.435772813
1.407158098	2.436059508
1.410840919	2.436348586
1.414543069	2.436640076
1.418264699	2.436934003
1.422005964	2.437230397
1.425767019	2.437529285
1.429548023	2.437830695
1.433349133	2.438134656
1.437170511	2.438441197
1.44101232	2.438750349
1.444874723	2.439062142
1.448757887	2.439376605
1.45266198	2.43969377
1.456587171	2.440013669
1.460533632	2.440336333
1.464501536	2.440661795
1.468491058	2.440990087
1.472502375	2.441321244
1.476535668	2.441655299
1.480591115	2.441992287
1.484668902	2.442332242
1.488769212	2.4426752
1.492892234	2.443021197
1.497038155	2.443370269
1.501207168	2.443722454
1.505399466	2.44407779
1.509615244	2.444436314
1.513854701	2.444798065
1.518118036	2.445163084
1.522405452	2.445531409
1.526717153	2.445903082
1.531053347	2.446278144
1.535414241	2.446656637
1.53980005	2.447038604
1.544210985	2.447424088
1.548647265	2.447813133
1.553109107	2.448205783
1.557596734	2.448602085
1.562110369	2.449002084
1.56665024	2.449405828
1.571216576	2.449813363
1.575809609	2.450224739
1.580429573	2.450640004
1.585076707	2.451059209
1.58975125	2.451482404
1.594453447	2.451909642
1.599183542	2.452340974
1.603941785	2.452776454
1.608728429	2.453216137
1.613543727	2.453660077
1.618387939	2.454108331
1.623261325	2.454560956
1.62816415	2.45501801
1.633096681	2.455479551
1.638059189	2.455945641
1.643051948	2.456416339
1.648075236	2.456891708
1.653129333	2.457371812
1.658214525	2.457856714
1.663331097	2.45834648
1.668479343	2.458841176
1.673659557	2.45934087
1.678872038	2.459845631
1.684117088	2.460355528
1.689395013	2.460870634
1.694706124	2.46139102
1.700050734	2.461916761
1.705429161	2.462447932
1.710841728	2.462984609
1.71628876	2.46352687
1.721770587	2.464074795
1.727287545	2.464628463
1.732839972	2.465187959
1.738428211	2.465753364
1.744052609	2.466324764
1.74971352	2.466902247
1.755411298	2.4674859
1.761146307	2.468075814
1.766918911	2.468672081
1.772729482	2.469274793
1.778578396	2.469884047
1.784466033	2.470499939
